epoch,loss,accuracy,time_ms
1,0.200358,0.968000,75989.164200
2,0.257034,0.948800,75247.311500
3,0.246576,0.950400,75469.602700
4,0.218665,0.952800,75012.466100
5,0.200366,0.960000,75276.936600
6,0.185083,0.964800,74705.650300
7,0.172292,0.966400,74641.516300
8,0.163077,0.968000,75122.592800
9,0.151705,0.968800,74507.704200
10,0.141403,0.969600,74613.715800
11,0.131206,0.972800,75331.915100
12,0.121451,0.976000,75169.398800
13,0.113753,0.975200,74995.870700
14,0.109482,0.975200,74901.636000
15,0.102760,0.976000,75366.028500
16,0.097964,0.976800,75821.455400
17,0.092294,0.976800,74983.891600
18,0.087474,0.980000,75281.484000
19,0.082487,0.979200,76063.599700
20,0.079513,0.980800,75475.324700
