epoch,loss,accuracy,time_ms
1,0.200358,0.968000,114902.422800
2,0.257034,0.948800,114694.009600
3,0.246576,0.950400,115021.999700
4,0.218665,0.952800,114310.536300
5,0.200366,0.960000,114127.095400
6,0.185083,0.964800,115388.143700
7,0.172292,0.966400,115258.350400
8,0.163077,0.968000,115049.045400
9,0.151705,0.968800,114849.672100
10,0.141403,0.969600,115565.072300
11,0.131206,0.972800,115252.016800
12,0.121451,0.976000,115168.554100
13,0.113753,0.975200,115361.039000
14,0.109482,0.975200,115184.766700
15,0.102760,0.976000,115641.388500
16,0.097964,0.976800,114632.025800
17,0.092294,0.976800,115087.750600
18,0.087474,0.980000,115422.320700
19,0.082487,0.979200,114603.149200
20,0.079513,0.980800,114442.533500
