epoch,loss,accuracy,time_ms
1,0.200358,0.968000,62143.512100
2,0.257034,0.948800,62520.502100
3,0.246576,0.950400,62888.434400
4,0.218665,0.952800,62800.143200
5,0.200366,0.960000,167101.942400
6,0.185083,0.964800,62366.599300
7,0.172292,0.966400,62108.163300
8,0.163077,0.968000,62917.082200
9,0.151705,0.968800,62598.758600
10,0.141403,0.969600,62509.167000
11,0.131206,0.972800,63079.731700
12,0.121451,0.976000,62237.145500
13,0.113753,0.975200,62505.826500
14,0.109482,0.975200,62489.757000
15,0.102760,0.976000,62594.697000
16,0.097964,0.976800,62436.652400
17,0.092294,0.976800,62549.114600
18,0.087474,0.980000,62591.301900
19,0.082487,0.979200,62713.065300
20,0.079513,0.980800,62518.049900
